Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0
Tijuca;2;1;0;110;1900.0;700.0;138.0
Tijuca;2;1;0;78;2000.0;700.0;0.0
Botafogo;2;1;0;76;2500.0;740.0;0.0
Recreio dos Bandeirantes;3;1;1;105;2300.0;648.0;0.0
Recreio dos Bandeirantes;3;2;2;100;2600.0;380.0;0.0
Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0
Recreio dos Bandeirantes;3;1;2;92;2300.0;840.0;200.0
Recreio dos Bandeirantes;2;1;2;83;1600.0;1160.0;157.0
Méier;3;1;0;90;1550.0;844.0;80.0
Maracanã;2;0;0;86;1800.0;600.0;82.0
Recreio dos Bandeirantes;2;1;1;74;1850.0;675.0;200.0
Jacarepaguá;3;1;1;74;1900.0;556.0;98.0
Barra da Tijuca;3;2;1;104;2600.0;1364.0;406.0
Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0
Bonsucesso;2;1;0;77;1500.0;740.0;0.0
Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0
Todos os Santos;3;1;1;78;1450.0;630.0;73.0
Barra da Tijuca;2;1;1;78;2750.0;1300.0;138.0
Recreio dos Bandeirantes;2;1;1;90;2400.0;1700.0;135.0
Tijuca;2;1;0;80;1800.0;1100.0;84.0
Tijuca;3;1;0;172;2700.0;780.0;170.0
Freguesia (Jacarepaguá);4;3;2;261;2800.0;2535.0;3900.0
Botafogo;2;1;1;83;2800.0;560.0;138.0
Catete;2;0;0;77;2400.0;1130.0;140.0
Recreio dos Bandeirantes;3;2;1;90;1200.0;880.0;144.0
Praça Seca;2;0;0;80;900.0;350.0;0.0
Freguesia (Jacarepaguá);2;1;1;74;1700.0;652.0;104.0
Recreio dos Bandeirantes;2;1;1;75;1000.0;1040.0;112.0
Recreio dos Bandeirantes;3;2;1;104;2200.0;740.0;258.0
Barra da Tijuca;2;1;1;72;2600.0;1700.0;237.0
Taquara;2;1;0;75;1200.0;330.0;75.0
Freguesia (Jacarepaguá);2;1;1;71;1200.0;600.0;54.0
Tijuca;3;0;0;87;1600.0;650.0;100.0
Barra da Tijuca;3;1;2;93;2500.0;1100.0;0.0
Engenho Novo;2;2;0;78;800.0;915.0;55.0
Barra da Tijuca;2;1;1;85;2500.0;1573.0;197.0
Freguesia (Jacarepaguá);2;1;1;95;1600.0;650.0;0.0
Tijuca;3;1;1;78;2500.0;730.0;178.0
Recreio dos Bandeirantes;3;2;1;102;1850.0;882.0;0.0
Maracanã;3;2;3;158;2400.0;1265.0;0.0
Barra da Tijuca;2;1;1;83;2000.0;1548.0;260.0
Barra da Tijuca;3;1;1;84;1900.0;1103.0;212.0
Freguesia (Jacarepaguá);3;1;1;77;1600.0;850.0;165.0
Tijuca;3;0;0;75;1800.0;350.0;0.0
Tijuca;2;1;1;71;1500.0;600.0;0.0
Barra da Tijuca;2;1;1;81;1900.0;1200.0;121.0
Laranjeiras;3;1;1;90;2400.0;1311.0;0.0
Tijuca;3;1;0;129;1800.0;850.0;116.0
Recreio dos Bandeirantes;2;1;1;93;1400.0;1300.0;0.0
Freguesia (Jacarepaguá);3;1;1;93;1800.0;650.0;95.0
Recreio dos Bandeirantes;2;1;1;80;1600.0;615.0;3.0
Freguesia (Jacarepaguá);3;1;0;84;1500.0;900.0;0.0
Ilha do Governador;3;1;0;83;1500.0;440.0;132.0
Olaria;2;0;0;90;1000.0;150.0;0.0
Maracanã;3;1;0;95;2500.0;600.0;80.0
Barra da Tijuca;3;1;1;105;2500.0;1400.0;1500.0
Gávea;3;0;1;120;2700.0;880.0;238.0
Recreio dos Bandeirantes;3;3;1;132;2800.0;879.0;0.0
Recreio dos Bandeirantes;2;1;1;80;1700.0;690.0;150.0
Barra da Tijuca;2;1;1;77;2500.0;830.0;156.0
Recreio dos Bandeirantes;3;2;2;106;2500.0;780.0;248.0
Barra da Tijuca;2;1;1;75;1400.0;1280.0;0.0
Recreio dos Bandeirantes;2;1;1;89;1800.0;884.0;170.0
Recreio dos Bandeirantes;2;0;0;75;1700.0;659.0;0.0
Copacabana;2;1;1;81;2900.0;893.0;190.0
Praça Seca;3;0;0;90;900.0;330.0;15.0
Vila Isabel;3;3;1;124;1700.0;1400.0;0.0
Freguesia (Jacarepaguá);3;2;1;126;1500.0;1000.0;150.0
Recreio dos Bandeirantes;3;2;1;94;1900.0;1300.0;198.0
São Francisco Xavier;3;1;1;73;1200.0;520.0;0.0
Laranjeiras;2;0;0;110;2500.0;968.0;167.0
Flamengo;2;0;0;85;2700.0;800.0;1150.0
